L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
61.5099,48.2699,55.2098,0.104901,3.45323,3.44924,82.6756,0.00794521,2.93703,6.0954,33.0125,0.038027,2.06923,2.14286,6.6318,0.00344171,2.05269,1.11707,17.0015,4.38233
61.5099,48.2699,55.2099,0.111038,3.48824,3.48756,82.6796,0.00947443,2.93703,6.0954,33.0126,0.0441638,2.10424,2.18118,6.63581,0.00420176,2.05089,1.11702,16.88,4.38168
61.5099,48.2699,55.21,0.106983,3.4989,3.50365,82.6812,0.00822113,2.93703,6.0954,33.0127,0.0401089,2.1149,2.19727,6.63742,0.00364071,2.05027,1.11705,16.8372,4.3821
61.5099,48.2699,55.21,0.121593,3.49723,3.51292,82.6799,0.01106,2.93703,6.0954,33.0126,0.0547186,2.11323,2.20654,6.63613,0.00545842,2.05007,1.11695,16.8247,4.38058
61.5099,48.2699,55.2097,0.122226,3.48703,3.51041,82.6761,0.0114667,2.93703,6.0954,33.0124,0.0553518,2.10303,2.20403,6.63228,0.00571016,2.05043,1.11695,16.8498,4.38054
61.5099,48.2699,55.2094,0.115321,3.47732,3.51172,82.6731,0.0107268,2.93703,6.0954,33.0121,0.0484474,2.09333,2.20534,6.62928,0.00476406,2.05071,1.117,16.8688,4.38129
61.5099,48.2699,55.2095,0.127219,3.47697,3.51557,82.6754,0.011411,2.93703,6.0954,33.0121,0.0603454,2.09297,2.20919,6.63156,0.00568559,2.05056,1.11692,16.8584,4.38005
61.5099,48.2699,55.2095,0.137179,3.47682,3.51626,82.6752,0.0147727,2.93703,6.0954,33.0121,0.070305,2.09283,2.20988,6.63138,0.00791705,2.05048,1.11685,16.8544,4.37901
61.5099,48.2699,55.2093,0.122359,3.47037,3.5164,82.6745,0.0109922,2.93703,6.0954,33.0119,0.0554855,2.08638,2.21002,6.63066,0.00530728,2.05073,1.11695,16.8693,4.38057
61.5099,48.2699,55.2088,0.132528,3.44641,3.51473,82.6667,0.0120519,2.93703,6.0954,33.0114,0.0656538,2.06242,2.20835,6.62293,0.00687287,2.05146,1.11689,16.9185,4.37957
61.5099,48.2699,55.2089,0.125151,3.45138,3.51346,82.6727,0.011495,2.93703,6.0954,33.0116,0.0582769,2.06739,2.20707,6.62886,0.00592433,2.05126,1.11693,16.905,4.38032
61.5099,48.2699,55.2089,0.124953,3.44585,3.51632,82.6675,0.0113393,2.93703,6.0954,33.0115,0.0580796,2.06186,2.20993,6.62365,0.00570617,2.05144,1.11694,16.9176,4.38034
61.5099,48.2699,55.2091,0.135773,3.45549,3.51591,82.6718,0.0143548,2.93703,6.0954,33.0117,0.0688994,2.0715,2.20952,6.62797,0.00762865,2.05106,1.11686,16.8936,4.37919
61.5099,48.2699,55.2087,0.128596,3.43796,3.51458,82.6678,0.0128719,2.93703,6.0954,33.0114,0.0617222,2.05396,2.2082,6.62396,0.00648483,2.05162,1.11691,16.9309,4.37998
61.5099,48.2699,55.2087,0.132384,3.44049,3.51251,82.6666,0.0146168,2.93703,6.0954,33.0114,0.0655103,2.0565,2.20613,6.62275,0.0076369,2.05159,1.11689,16.9302,4.37959
61.5099,48.2699,55.2086,0.124814,3.43586,3.51637,82.6679,0.012428,2.93703,6.0954,33.0113,0.05794,2.05187,2.20999,6.62414,0.0061713,2.05163,1.11694,16.9316,4.38038
61.5099,48.2699,55.2087,0.146353,3.43721,3.51469,82.6676,0.0152044,2.93703,6.0954,33.0114,0.0794796,2.05322,2.20831,6.62382,0.00852555,2.05158,1.11679,16.9289,4.37814
61.5099,48.2699,55.2083,0.126971,3.4183,3.5111,82.6614,0.013354,2.93703,6.0954,33.0109,0.0600974,2.03431,2.20472,6.61763,0.00628701,2.05228,1.11693,16.9771,4.3802
61.5099,48.2699,55.2086,0.129603,3.43116,3.51379,82.6658,0.0124213,2.93703,6.0954,33.0113,0.0627289,2.04717,2.20741,6.622,0.00646839,2.05184,1.11691,16.9458,4.37988
61.5099,48.2699,55.2085,0.131886,3.41963,3.50998,82.6637,0.0129894,2.93703,6.0954,33.0111,0.0650119,2.03563,2.2036,6.61991,0.00686244,2.05223,1.11689,16.9723,4.37966
61.5099,48.2699,55.209,0.128963,3.44585,3.51447,82.6702,0.013133,2.93703,6.0954,33.0117,0.0620893,2.06185,2.20809,6.62639,0.00648934,2.05138,1.11691,16.915,4.37991
61.5099,48.2699,55.2084,0.118528,3.41537,3.51031,82.6637,0.0118585,2.93703,6.0954,33.0111,0.0516543,2.03138,2.20393,6.61988,0.00525282,2.05235,1.11698,16.981,4.38106
61.5099,48.2699,55.2084,0.133336,3.41903,3.51355,82.6651,0.0137287,2.93703,6.0954,33.011,0.0664619,2.03504,2.20716,6.62127,0.00738938,2.05211,1.11688,16.9647,4.37952
61.5099,48.2699,55.2083,0.117866,3.41921,3.51163,82.6654,0.0100996,2.93703,6.0954,33.011,0.0509925,2.03521,2.20525,6.62163,0.00478512,2.05223,1.11699,16.971,4.38114
61.5099,48.2699,55.2084,0.129668,3.42227,3.51434,82.6654,0.011742,2.93703,6.0954,33.0111,0.0627944,2.03828,2.20796,6.62163,0.00619536,2.05206,1.11691,16.9597,4.3799
61.5099,48.2699,55.2083,0.118718,3.41553,3.51165,82.6627,0.0108102,2.93703,6.0954,33.011,0.0518442,2.03154,2.20527,6.61884,0.0050959,2.05236,1.11698,16.9805,4.38105
61.5099,48.2699,55.2084,0.123362,3.41992,3.51621,82.6663,0.0108091,2.93703,6.0954,33.0111,0.0564886,2.03592,2.20983,6.62252,0.00564543,2.05207,1.11695,16.96,4.38056
61.5099,48.2699,55.2084,0.132643,3.42074,3.51394,82.6651,0.0131672,2.93703,6.0954,33.0111,0.065769,2.03675,2.20756,6.62127,0.00663722,2.05208,1.11689,16.9626,4.37959
61.5099,48.2699,55.2084,0.131035,3.41633,3.51379,82.6627,0.0130068,2.93703,6.0954,33.011,0.0641608,2.03234,2.20741,6.61884,0.00673183,2.05224,1.1169,16.9734,4.37976
61.5099,48.2699,55.2085,0.130843,3.42503,3.5155,82.6665,0.0130443,2.93703,6.0954,33.0112,0.0639693,2.04104,2.20912,6.62266,0.00671066,2.05192,1.1169,16.9512,4.37977
61.5099,48.2699,55.2082,0.124547,3.41236,3.51267,82.6649,0.0131464,2.93703,6.0954,33.0108,0.0576736,2.02837,2.20629,6.62109,0.0062085,2.0523,1.11694,16.9787,4.38046
61.5099,48.2699,55.2083,0.119977,3.41849,3.51392,82.6654,0.010936,2.93703,6.0954,33.011,0.0531026,2.03449,2.20754,6.62163,0.00517132,2.05217,1.11697,16.9679,4.38092
61.5099,48.2699,55.2085,0.123234,3.43196,3.51641,82.6681,0.0122932,2.93703,6.0954,33.0112,0.0563597,2.04796,2.21003,6.62424,0.00591735,2.05172,1.11695,16.9378,4.38056
61.5099,48.2699,55.2083,0.126113,3.4151,3.51116,82.6644,0.0137795,2.93703,6.0954,33.0109,0.0592391,2.0311,2.20478,6.62055,0.00651358,2.05227,1.11693,16.9771,4.38029
61.5099,48.2699,55.2088,0.130833,3.4336,3.51492,82.67,0.0130979,2.93703,6.0954,33.0114,0.0639587,2.04961,2.20854,6.62617,0.00679785,2.05165,1.1169,16.9332,4.37974
61.5099,48.2699,55.2083,0.134948,3.41016,3.50809,82.6639,0.0134405,2.93703,6.0954,33.011,0.0680746,2.02616,2.20171,6.62005,0.00715599,2.05248,1.11687,16.9894,4.37936
61.5099,48.2699,55.208,0.115533,3.39849,3.50425,82.6609,0.0118558,2.93703,6.0954,33.0107,0.0486589,2.01449,2.19787,6.61704,0.00503156,2.05293,1.11701,17.0218,4.38141
61.5099,48.2699,55.2088,0.124739,3.43897,3.51654,82.6691,0.011419,2.93703,6.0954,33.0114,0.0578653,2.05497,2.21016,6.62529,0.00562193,2.05155,1.11694,16.9255,4.38038
61.5099,48.2699,55.2082,0.135581,3.41515,3.51366,82.6633,0.0141986,2.93703,6.0954,33.0109,0.0687074,2.03115,2.20728,6.61948,0.00750944,2.05223,1.11687,16.9732,4.3793
61.5099,48.2699,55.2083,0.116751,3.41566,3.51479,82.6639,0.0115014,2.93703,6.0954,33.011,0.0498776,2.03167,2.2084,6.62005,0.00522408,2.05224,1.117,16.9733,4.38126
61.5099,48.2699,55.2094,0.0697485,3.45279,3.52128,82.6709,0.00264627,2.93703,6.0954,33.012,0.0028746,2.06879,2.21489,6.62704,0.000214828,2.05129,1.11731,16.9024,4.38604
61.5099,48.2699,55.2097,0.0714706,3.47042,3.52444,82.6759,0.00290023,2.93703,6.0954,33.0124,0.00459672,2.08642,2.21806,6.63212,0.000344287,2.05069,1.11729,16.8622,4.38582
61.5099,48.2699,55.2098,0.0707418,3.47583,3.52606,82.6758,0.0027859,2.93703,6.0954,33.0125,0.00386794,2.09184,2.21967,6.63195,0.000295499,2.05054,1.1173,16.8518,4.38589
61.5099,48.2699,55.2098,0.068746,3.47448,3.52643,82.675,0.00250273,2.93703,6.0954,33.0124,0.00187215,2.09049,2.22005,6.63123,0.000128987,2.05058,1.11731,16.8546,4.3861
61.5099,48.2699,55.2097,0.0702087,3.47288,3.52618,82.6756,0.00265191,2.93703,6.0954,33.0124,0.00333484,2.08888,2.2198,6.6318,0.000242028,2.05061,1.1173,16.8564,4.38596
61.5099,48.2699,55.21,0.0710379,3.48551,3.52734,82.6777,0.00273956,2.93703,6.0954,33.0127,0.00416402,2.10152,2.22096,6.63391,0.000314987,2.05024,1.11729,16.8318,4.38584
61.5099,48.2699,55.2102,0.0705497,3.49206,3.52876,82.6777,0.00271281,2.93703,6.0954,33.0128,0.00367583,2.10806,2.22238,6.63392,0.000271852,2.05006,1.1173,16.8197,4.38588
61.5099,48.2699,55.2102,0.0705503,3.49551,3.5274,82.6777,0.0027613,2.93703,6.0954,33.0129,0.00367641,2.11151,2.22102,6.63392,0.000274176,2.05001,1.1173,16.8164,4.38587
61.5099,48.2699,55.2102,0.071219,3.49773,3.52854,82.6802,0.00284809,2.93703,6.0954,33.0129,0.00434507,2.11374,2.22216,6.63635,0.000322658,2.04988,1.11729,16.8075,4.3858
61.5099,48.2699,55.2103,0.0715816,3.49886,3.52815,82.6816,0.00282278,2.93703,6.0954,33.013,0.00470771,2.11486,2.22177,6.63774,0.000356692,2.04983,1.11729,16.8042,4.38575
61.5099,48.2699,55.2104,0.0733356,3.5012,3.52773,82.6791,0.00295715,2.93703,6.0954,33.013,0.00646169,2.1172,2.22135,6.63532,0.000478686,2.04984,1.11728,16.8048,4.38556
61.5099,48.2699,55.2104,0.0716269,3.50145,3.52804,82.6816,0.00283259,2.93703,6.0954,33.013,0.00475298,2.11745,2.22166,6.63774,0.000349703,2.04978,1.11729,16.8004,4.38574
61.5099,48.2699,55.2103,0.072454,3.49553,3.52631,82.6791,0.00295813,2.93703,6.0954,33.0129,0.00558012,2.11153,2.21993,6.63531,0.000419104,2.05,1.11728,16.8157,4.38567
61.5099,48.2699,55.2103,0.071286,3.49947,3.52751,82.6803,0.00265906,2.93703,6.0954,33.0129,0.00441214,2.11547,2.22113,6.63653,0.000323993,2.04987,1.11729,16.8061,4.38579
61.5099,48.2699,55.2104,0.0721436,3.50714,3.52816,82.6803,0.00295198,2.93703,6.0954,33.0131,0.00526972,2.12314,2.22178,6.63654,0.000403624,2.04967,1.11728,16.7933,4.38568
61.5099,48.2699,55.2105,0.0699948,3.50743,3.52832,82.6816,0.00268541,2.93703,6.0954,33.0132,0.00312094,2.12344,2.22194,6.63775,0.000227895,2.04964,1.1173,16.791,4.3859
61.5099,48.2699,55.2106,0.0716607,3.513,3.52983,82.6835,0.00277942,2.93703,6.0954,33.0132,0.0047868,2.129,2.22345,6.63971,0.000357882,2.04943,1.11729,16.777,4.38572
61.5099,48.2699,55.2105,0.0715942,3.50938,3.5295,82.6817,0.00265539,2.93703,6.0954,33.0132,0.00472028,2.12538,2.22312,6.63792,0.000345528,2.04956,1.11729,16.7858,4.38573
61.5099,48.2699,55.2106,0.0717373,3.51639,3.53138,82.6833,0.00285707,2.93703,6.0954,33.0133,0.0048634,2.1324,2.225,6.63954,0.000367505,2.04932,1.11728,16.7697,4.3857
61.5099,48.2699,55.2105,0.0712612,3.50772,3.52932,82.6817,0.00285022,2.93703,6.0954,33.0131,0.00438732,2.12372,2.22294,6.63792,0.000329595,2.0496,1.11729,16.7886,4.38577
61.5099,48.2699,55.2106,0.0719181,3.51302,3.52887,82.6835,0.00282427,2.93703,6.0954,33.0133,0.0050442,2.12902,2.22249,6.63971,0.000375186,2.04945,1.11728,16.7784,4.38568
61.5099,48.2699,55.2107,0.0713251,3.5172,3.53067,82.6835,0.00282133,2.93703,6.0954,33.0134,0.00445119,2.1332,2.22429,6.63971,0.000326257,2.04931,1.11729,16.7693,4.38574
61.5099,48.2699,55.2107,0.0715821,3.51618,3.53024,82.6835,0.00271616,2.93703,6.0954,33.0133,0.00470824,2.13218,2.22386,6.63971,0.000336128,2.04935,1.11729,16.7715,4.38572
61.5099,48.2699,55.2108,0.0716588,3.52135,3.53075,82.6835,0.0028942,2.93703,6.0954,33.0134,0.00478489,2.13736,2.22437,6.63972,0.000358717,2.04921,1.11728,16.7628,4.3857
61.5099,48.2699,55.2108,0.0708689,3.52537,3.53074,82.6835,0.00282065,2.93703,6.0954,33.0135,0.00399504,2.14138,2.22436,6.63972,0.000294537,2.04913,1.11729,16.7568,4.38577
61.5099,48.2699,55.2109,0.0716563,3.52481,3.53007,82.6835,0.00287441,2.93703,6.0954,33.0135,0.00478237,2.14081,2.22369,6.63972,0.000357713,2.04915,1.11728,16.7586,4.38569
61.5099,48.2699,55.2108,0.0705308,3.5217,3.53076,82.6835,0.00260384,2.93703,6.0954,33.0134,0.00365688,2.1377,2.22438,6.63972,0.000262243,2.04921,1.11729,16.7624,4.38581
61.5099,48.2699,55.2108,0.0720005,3.52359,3.53032,82.6835,0.00275792,2.93703,6.0954,33.0135,0.00512659,2.13959,2.22393,6.63972,0.00037336,2.04918,1.11728,16.7601,4.38566
61.5099,48.2699,55.2109,0.0722576,3.52727,3.53049,82.686,0.00286572,2.93703,6.0954,33.0136,0.00538373,2.14327,2.22411,6.64215,0.000401644,2.04903,1.11728,16.7504,4.38562
61.5099,48.2699,55.211,0.0713677,3.52979,3.53112,82.6835,0.0026695,2.93703,6.0954,33.0136,0.00449377,2.14579,2.22474,6.63973,0.000326608,2.04902,1.11728,16.7495,4.38571
61.5099,48.2699,55.2108,0.0722154,3.52475,3.53064,82.6861,0.0028192,2.93703,6.0954,33.0135,0.00534152,2.14076,2.22425,6.64232,0.000388464,2.04908,1.11728,16.7538,4.38564
61.5099,48.2699,55.2108,0.0698434,3.5219,3.53051,82.686,0.00264045,2.93703,6.0954,33.0134,0.00296953,2.1379,2.22413,6.64215,0.000212075,2.04916,1.1173,16.7589,4.38589
61.5099,48.2699,55.2109,0.0705721,3.52648,3.5306,82.6873,0.00274478,2.93703,6.0954,33.0136,0.00369826,2.14249,2.22422,6.64354,0.000265285,2.04902,1.11729,16.7496,4.38579
61.5099,48.2699,55.211,0.0733037,3.53204,3.53086,82.6861,0.00304321,2.93703,6.0954,33.0136,0.0064298,2.14804,2.22448,6.64233,0.000483941,2.04891,1.11727,16.7422,4.3855
61.5099,48.2699,55.211,0.0720791,3.53147,3.53135,82.6861,0.00284861,2.93703,6.0954,33.0136,0.0052052,2.14747,2.22497,6.64233,0.000381651,2.04891,1.11728,16.7425,4.38563
61.5099,48.2699,55.2111,0.0691137,3.53683,3.53206,82.6888,0.00246427,2.93703,6.0954,33.0137,0.00223984,2.15283,2.22568,6.64494,0.000151155,2.04872,1.1173,16.7297,4.38593
61.5099,48.2699,55.2111,0.0719675,3.53764,3.53156,82.687,0.00274473,2.93703,6.0954,33.0138,0.00509357,2.15364,2.22518,6.64323,0.000371276,2.04875,1.11728,16.7315,4.38563
61.5099,48.2699,55.211,0.0705294,3.53446,3.53145,82.686,0.00266519,2.93703,6.0954,33.0137,0.0036555,2.15047,2.22507,6.64216,0.000262461,2.04885,1.11729,16.7383,4.38579
61.5099,48.2699,55.211,0.0712186,3.53141,3.53049,82.6858,0.00273617,2.93703,6.0954,33.0137,0.00434471,2.14741,2.22411,6.64201,0.000316916,2.04894,1.11729,16.7445,4.38572
61.5099,48.2699,55.2112,0.0720596,3.54217,3.53173,82.691,0.0028702,2.93703,6.0954,33.0139,0.00518576,2.15818,2.22535,6.64723,0.000380265,2.04855,1.11728,16.7183,4.38561
61.5099,48.2699,55.2112,0.0676348,3.542,3.53171,82.6909,0.00223759,2.93703,6.0954,33.0139,0.000760866,2.158,2.22533,6.64705,3.33262e-05,2.04857,1.11731,16.7194,4.38607
61.5099,48.2699,55.2112,0.0676348,3.54199,3.53171,82.691,0.00223759,2.93703,6.0954,33.0139,0.000760866,2.158,2.22533,6.64723,3.33262e-05,2.04857,1.11731,16.7191,4.38607
61.5099,48.2699,55.2112,0.0676351,3.54183,3.5317,82.6909,0.00223802,2.93703,6.0954,33.0139,0.000761257,2.15784,2.22532,6.64705,3.34714e-05,2.04857,1.11731,16.7196,4.38607
61.5099,48.2699,55.2112,0.0676355,3.54214,3.53172,82.691,0.00223772,2.93703,6.0954,33.0139,0.000761649,2.15814,2.22534,6.64723,3.33955e-05,2.04856,1.11731,16.7189,4.38607
61.5099,48.2699,55.2112,0.0676355,3.54216,3.53172,82.691,0.00223803,2.93703,6.0954,33.0139,0.000761649,2.15816,2.22534,6.64723,3.34963e-05,2.04856,1.11731,16.7188,4.38607
61.5099,48.2699,55.2112,0.0676351,3.54193,3.53171,82.6909,0.00223801,2.93703,6.0954,33.0139,0.000761257,2.15793,2.22533,6.64705,3.34694e-05,2.04857,1.11731,16.7195,4.38607
61.5099,48.2699,55.2112,0.0676355,3.54198,3.53171,82.691,0.00223773,2.93703,6.0954,33.0139,0.000761649,2.15799,2.22533,6.64723,3.34029e-05,2.04857,1.11731,16.7191,4.38607
61.5099,48.2699,55.2112,0.0676351,3.54205,3.53171,82.6909,0.00223771,2.93703,6.0954,33.0139,0.000761257,2.15806,2.22533,6.64705,3.33867e-05,2.04857,1.11731,16.7193,4.38607
61.5099,48.2699,55.2112,0.0676351,3.54191,3.53169,82.691,0.00223771,2.93703,6.0954,33.0139,0.000761257,2.15791,2.22531,6.64723,3.33867e-05,2.04857,1.11731,16.7192,4.38607
61.5099,48.2699,55.2112,0.0676351,3.54177,3.53168,82.691,0.00223801,2.93703,6.0954,33.0139,0.000761257,2.15777,2.2253,6.64723,3.34694e-05,2.04857,1.11731,16.7195,4.38607
61.5099,48.2699,55.2112,0.0676355,3.54191,3.53169,82.691,0.00223775,2.93703,6.0954,33.0139,0.000761649,2.15791,2.22531,6.64723,3.3406e-05,2.04857,1.11731,16.7192,4.38607
61.5099,48.2699,55.2112,0.0676351,3.54183,3.53169,82.691,0.00223801,2.93703,6.0954,33.0139,0.000761257,2.15783,2.22531,6.64723,3.3469e-05,2.04857,1.11731,16.7194,4.38607
61.5099,48.2699,55.2112,0.0676355,3.54188,3.53169,82.691,0.00223775,2.93703,6.0954,33.0139,0.000761649,2.15788,2.22531,6.64723,3.3421e-05,2.04857,1.11731,16.7193,4.38607
61.5099,48.2699,55.2112,0.0676351,3.54167,3.53168,82.691,0.00223801,2.93703,6.0954,33.0139,0.000761257,2.15767,2.2253,6.64723,3.34694e-05,2.04858,1.11731,16.7196,4.38607
61.5099,48.2699,55.2112,0.0676351,3.54151,3.53167,82.691,0.00223771,2.93703,6.0954,33.0139,0.000761257,2.15751,2.22529,6.64722,3.33867e-05,2.04858,1.11731,16.7199,4.38607
61.5099,48.2699,55.2112,0.0676351,3.5416,3.53167,82.691,0.00223771,2.93703,6.0954,33.0139,0.000761257,2.1576,2.22529,6.64722,3.33867e-05,2.04858,1.11731,16.7197,4.38607
61.5099,48.2699,55.2112,0.0676351,3.54174,3.53168,82.691,0.00223771,2.93703,6.0954,33.0139,0.000761257,2.15774,2.2253,6.64723,3.33867e-05,2.04857,1.11731,16.7195,4.38607
61.5099,48.2699,55.2112,0.0676351,3.54183,3.53169,82.691,0.00223771,2.93703,6.0954,33.0139,0.000761257,2.15783,2.22531,6.64723,3.33867e-05,2.04857,1.11731,16.7194,4.38607
61.5099,48.2699,55.2112,0.0676359,3.54157,3.53167,82.691,0.00223805,2.93703,6.0954,33.0139,0.00076204,2.15757,2.22529,6.64722,3.35132e-05,2.04858,1.11731,16.7198,4.38607
61.5099,48.2699,55.2112,0.0676351,3.54176,3.53168,82.6909,0.00223801,2.93703,6.0954,33.0139,0.000761257,2.15776,2.2253,6.64705,3.3469e-05,2.04858,1.11731,16.7198,4.38607
